Card Name,Condition,Printing,Set,Box Name
Pikachu VMAX,Holofoil,Lightly Played+,SWSH4: Vivid Voltage,Maximum VMAX
Charizard VMAX,Holofoil,Lightly Played+,SWSH45SV: Shining Fates Shiny Vault,Maximum VMAX
Charizard-GX,Holofoil,Lightly Played+,SM3: Burning Shadows,"I Choose You, Charizard!"
Charizard-GX,Holofoil,Lightly Played+,SMA: Hidden Fates Shiny Vault,"I Choose You, Charizard!"
Charizard VMAX,Holofoil,Lightly Played+,SWSH35: Champion's Path,"I Choose You, Charizard!"
Charizard V,Holofoil,Lightly Played+,SWSH35: Champion's Path,"I Choose You, Charizard!"
Charizard V,Holofoil,Lightly Played+,SWSH9: Brilliant Stars,"I Choose You, Charizard!"
Charizard VMAX,Holofoil,Lightly Played+,SWSH45SV: Shining Fates Shiny Vault,"I Choose You, Charizard!"
Charizard VSTAR,Holofoil,Lightly Played+,SWSH9: Brilliant Stars,"I Choose You, Charizard!"
Charizard VMAX,Holofoil,Near Mint,SWSH3: Darkness Ablaze,"I Choose You, Charizard!"
Charizard VMAX,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,"I Choose You, Charizard!"
Charizard ex,Holofoil,Near Mint,SV3: Obsidian Flames,"I Choose You, Charizard!"
Dragonite (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Gengar (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Hitmonlee (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Moltres (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Lapras (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Articuno (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Aerodactyl (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Ditto (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Haunter (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Raichu (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Zapdos (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Kabutops (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Hypno (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Muk (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Magneton (1st Edition),1st Edition Holofoil,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Ditto (1st Edition),1st Edition,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Muk (1st Edition),1st Edition,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Magneton (1st Edition),1st Edition,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Haunter (1st Edition),1st Edition,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Hitmonlee (1st Edition),1st Edition,Lightly Played+,BASE3: Fossil,1st Edition Fossil Rares!
Generations Elite Trainer Box!,Elite Trainer Box,Sealed,Generations,Elite Trainers Only!
Unbroken Bonds Elite Trainer Box!,Elite Trainer Box,Sealed,Unbroken Bonds,Elite Trainers Only!
Dragon Majesty Elite Trainer Box!,Elite Trainer Box,Sealed,Dragon Majesty,Elite Trainers Only!
Cosmic Eclipse Elite Trainer Box!,Elite Trainer Box,Sealed,Cosmic Eclipse,Elite Trainers Only!
Celestial Storm Elite Trainer Box!,Elite Trainer Box,Sealed,Celestial Storm,Elite Trainers Only!
Unified Minds Elite Trainer Box,Elite Trainer Box,Sealed,Unified Minds,Elite Trainers Only!
Shining Legends Elite Trainer Box!,Elite Trainer Box,Sealed,Shining Legends,Elite Trainers Only!
Fates Collide Elite Trainer Box!,Elite Trainer Box,Sealed,Fates Collide,Elite Trainers Only!
Lost Thunder Elite Trainer Box!,Elite Trainer Box,Sealed,Lost Thunder,Elite Trainers Only!
Hidden Fates Elite Trainer Box!,Elite Trainer Box,Sealed,Hidden Fates,Elite Trainers Only!
Forbidden Light Elite Trainer Box!,Elite Trainer Box,Sealed,Forbidden Light,Elite Trainers Only!
Rebel Clash Elite Trainer Box!,Elite Trainer Box,Sealed,Rebel Crash,Elite Trainers Only!
Guardians Rising Elite Trainer Box!,Elite Trainer Box,Sealed,Guardians Rising,Elite Trainers Only!
Champion's Path Elite Trainer Box!,Elite Trainer Box,Sealed,Champion's Path,Elite Trainers Only!
Burning Shadows Elite Trainer Box!,Elite Trainer Box,Sealed,Burning Shadows,Elite Trainers Only!
Celebrations Elite Trainer Box!,Elite Trainer Box,Sealed,Celebrations,Elite Trainers Only!
151 - Booster Pack!,Booster,Sealed,151,Elite Trainers Only!
Shining Fates - Booster Pack!,Booster,Sealed,Shining Fates,Elite Trainers Only!
Crown Zenith - Booster Pack!,Booster,Sealed,Crown Zenith,Elite Trainers Only!
Scarlet & Violet - Booster Pack!,Booster,Sealed,Scarlet & Violet,Elite Trainers Only!
Snorlax (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Vaporeon (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Jolteon (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Flareon (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Scyther (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Nidoqueen (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Victreebel (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Pidgeot (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Pinsir,1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Clefable (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Venomoth (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Electrode (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Mr. Mime (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Vileplume (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Kangaskhan (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Wigglytuff (1st Edition),1st Edition Holofoil,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Clefable (1st Edition),1st Edition,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Wigglytuff (1st Edition),1st Edition,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Pinsir (1st Edition),1st Edition,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Venomoth (1st Edition),1st Edition,Lightly Played+,BASE2: Jungle,1st Edition Jungle Rares!
Latias & Latios-GX,Lightly Played+,Holofoil,SM9: Team Up,Tag Team Champions!
Gengar & Mimikyu-GX,Lightly Played+,Holofoil,SM9: Team Up,Tag Team Champions!
Magikarp & Wailord-GX,Lightly Played+,Holofoil,SM9: Team Up,Tag Team Champions!
Gardevoir & Sylveon-GX,Lightly Played+,Holofoil,SM10: Unbroken Bonds,Tag Team Champions!
Arceus & Dialga & Palkia-GX,Lightly Played+,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Blastoise & Piplup-GX,Lightly Played+,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Mega Sableye & Tyranitar-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Champions!
Solgaleo & Lunala-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Raichu & Alolan Raichu-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Champions!
Marshadow & Machamp-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Champions!
Reshiram & Zekrom-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Greninja & Zoroark-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Champions!
Mega Lopunny & Jigglypuff-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Slowpoke & Psyduck-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Champions!
Mewtwo & Mew-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Eevee & Snorlax-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Rowlet & Alolan Exeggutor-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Champions!
Umbreon & Darkrai-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Naganadel & Guzzlord-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Muk & Alolan Muk-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Champions!
Reshiram & Charizard-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Pheromosa & Buzzwole-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Champions!
Pikachu & Zekrom-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Charizard & Braixen-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Celebi & Venusaur-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Espeon & Deoxys-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Venusaur & Snivy-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Garchomp & Giratina-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Moltres & Zapdos & Articuno-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Lucario & Melmetal-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Togepi & Cleffa & Igglybuff-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Champions!
Trevenant & Dusknoir-GX,Near Mint,Holofoil,SMP: SM Black Star Promos,Tag Team Champions!
Suicune ★,Holofoil,Lightly Played+,EX10: Unseen Forces,The Legendary Beast Hunt
Raikou ★,Holofoil,Lightly Played+,EX10: Unseen Forces,The Legendary Beast Hunt
Entei ★,Holofoil,Lightly Played+,EX10: Unseen Forces,The Legendary Beast Hunt
Rocket's Suicune ex,Holofoil,Near Mint,EX7: Team Rocket Returns,The Legendary Beast Hunt
Entei-EX,Holofoil,Lightly Played+,BW5: Dark Explorers,The Legendary Beast Hunt
Raikou ex,Holofoil,Near Mint,EX4: Team Magma vs Team Aqua,The Legendary Beast Hunt
Rocket's Raikou ex,Holofoil,Near Mint,EX8: Deoxys,The Legendary Beast Hunt
Suicune,Normal,Near Mint,BASEP: Wizards Black Star Promos,The Legendary Beast Hunt
Raikou V,Holofoil,Near Mint,SWSH9: Brilliant Stars,The Legendary Beast Hunt
Suicune V,Holofoil,Near Mint,SWSH12PT5GG: Crown Zenith Galarian Gallery,The Legendary Beast Hunt
Raikou V,Holofoil,Near Mint,SWSH12PT5GG: Crown Zenith Galarian Gallery,The Legendary Beast Hunt
Suicune V,Holofoil,Near Mint,SWSH7: Evolving Skies,The Legendary Beast Hunt
Entei-GX,Holofoil,Near Mint,SM35: Shining Legends,The Legendary Beast Hunt
Entei V,Holofoil,Near Mint,SWSH12PT5GG: Crown Zenith Galarian Gallery,The Legendary Beast Hunt
Raikou,Holofoil,Near Mint,DP3: Secret Wonders,The Legendary Beast Hunt
Suicune,Holofoil,Near Mint,SWSH3: Darkness Ablaze,The Legendary Beast Hunt
Entei-GX,Holofoil,Near Mint,SM35: Shining Legends,The Legendary Beast Hunt
Entei,Normal,Lightly Played+,SM12: Cosmic Eclipse,The Legendary Beast Hunt
Mewtwo & Mew-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Secrets!
Eevee & Snorlax-GX,Near Mint,Holofoil,SM9: Team Up,Tag Team Secrets!
Reshiram & Charizard-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Gengar & Mimikyu-GX,Near Mint,Holofoil,SM9: Team Up,Tag Team Secrets!
Pikachu & Zekrom-GX,Near Mint,Holofoil,SM9: Team Up,Tag Team Secrets!
Latias & Latios-GX,Near Mint,Holofoil,SM9: Team Up,Tag Team Secrets!
Charizard & Braixen-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Gardevoir & Sylveon-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Reshiram & Zekrom-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Slowpoke & Psyduck-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Secrets!
Raichu & Alolan Raichu-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Secrets!
Celebi & Venusaur-GX,Near Mint,Holofoil,SM9: Team Up,Tag Team Secrets!
Solgaleo & Lunala-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Blastoise & Piplup-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Mega Sableye & Tyranitar-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Secrets!
Magikarp & Wailord-GX,Near Mint,Holofoil,SM9: Team Up,Tag Team Secrets!
Garchomp & Giratina-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Secrets!
Greninja & Zoroark-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Mega Lopunny & Jigglypuff-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Arceus & Dialga & Palkia-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Lucario & Melmetal-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Venusaur & Snivy-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Marshadow & Machamp-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Rowlet & Alolan Exeggutor-GX,Near Mint,Holofoil,SM11: Unified Minds,Tag Team Secrets!
Muk & Alolan Muk-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Moltres & Zapdos & Articuno-GX,Near Mint,Holofoil,SM115: Hidden Fates,Tag Team Secrets!
Naganadel & Guzzlord-GX,Near Mint,Holofoil,SM12: Cosmic Eclipse,Tag Team Secrets!
Pheromosa & Buzzwole-GX,Near Mint,Holofoil,SM10: Unbroken Bonds,Tag Team Secrets!
Charizard-GX,Holofoil,Lightly Played+,SMA: Hidden Fates Shiny Vault,Welcome to the Gallery!
Umbreon-GX,Holofoil,Lightly Played+,SMA: Hidden Fates Shiny Vault,Welcome to the Gallery!
Sylveon-GX,Holofoil,Lightly Played+,SMA: Hidden Fates Shiny Vault,Welcome to the Gallery!
Cynthia,Holofoil,Lightly Played+,SMA: Hidden Fates Shiny Vault,Welcome to the Gallery!
Giratina VSTAR,Holofoil,Lightly Played+,SWSH12PT5GG: Crown Zenith Galarian Gallery,Welcome to the Gallery!
Arceus VSTAR,Holofoil,Lightly Played+,SWSH12PT5GG: Crown Zenith Galarian Gallery,Welcome to the Gallery!
Charizard,Holofoil,Lightly Played+,CEL25C: Celebrations: Classic Collection,Welcome to the Gallery!
Origin Forme Dialga VSTAR,Holofoil,Lightly Played+,SWSH12PT5GG: Crown Zenith Galarian Gallery,Welcome to the Gallery!
Mewtwo VSTAR,Holofoil,Near Mint,SWSH12PT5GG: Crown Zenith Galarian Gallery,Welcome to the Gallery!
Starmie V,Holofoil,Lightly Played+,SWSH10TG: Astral Radiance Trainer Gallery,Welcome to the Gallery!
Origin Forme Palkia VSTAR,Holofoil,Near Mint,SWSH12PT5GG: Crown Zenith Galarian Gallery,Welcome to the Gallery!
Leafeon-GX,Holofoil,Near Mint,SMA: Hidden Fates Shiny Vault,Welcome to the Gallery!
Pikachu VMAX,Holofoil,Lightly Played+,SWSH11TG: Lost Origin Trainer Gallery,Welcome to the Gallery!
Sylveon-EX,Holofoil,Lightly Played+,G1: Generations,Welcome to the Gallery!
Flareon-EX,Holofoil,Near Mint,G1: Generations,Welcome to the Gallery!
Pikachu V,Holofoil,Lightly Played+,SWSH11TG: Lost Origin Trainer Gallery,Welcome to the Gallery!
Rayquaza VMAX,Holofoil,Near Mint,SWSH12TG: Silver Tempest Trainer Gallery,Welcome to the Gallery!
Umbreon VMAX,Holofoil,Near Mint,SWSH9TG: Brilliant Stars Trainer Gallery,Welcome to the Gallery!
M Gardevoir-EX,Holofoil,Near Mint,G1: Generations,Welcome to the Gallery!
Umbreon V,Holofoil,Near Mint,SWSH9TG: Brilliant Stars Trainer Gallery,Welcome to the Gallery!
Pikachu,Holofoil,Near Mint,G1: Generations,Welcome to the Gallery!
Garchomp V,Holofoil,Near Mint,SWSH10TG: Astral Radiance Trainer Gallery,Welcome to the Gallery!
Sylveon-EX,Holofoil,Near Mint,G1: Generations,Welcome to the Gallery!
Sordward & Shielbert,Holofoil,Near Mint,SWSH12TG: Silver Tempest Trainer Gallery,Welcome to the Gallery!
Mimikyu V,Holofoil,Near Mint,SWSH9TG: Brilliant Stars Trainer Gallery,Welcome to the Gallery!
Sylveon V,Holofoil,Near Mint,SWSH9TG: Brilliant Stars Trainer Gallery,Welcome to the Gallery!
Sylveon VMAX,Holofoil,Near Mint,SWSH9TG: Brilliant Stars Trainer Gallery,Welcome to the Gallery!
Umbreon ★,Holofoil,Near Mint,CEL25C: Celebrations: Classic Collection,Welcome to the Gallery!
Shining Magikarp,Holofoil,Near Mint,CEL25C: Celebrations: Classic Collection,Welcome to the Gallery!
Boss's Orders,Holofoil,Near Mint,SWSH11TG: Lost Origin Trainer Gallery,Welcome to the Gallery!
Blaziken V,Holofoil,Near Mint,SWSH12TG: Silver Tempest Trainer Gallery,Welcome to the Gallery!
Blaziken VMAX,Holofoil,Near Mint,SWSH12TG: Silver Tempest Trainer Gallery,Welcome to the Gallery!
M Rayquaza-EX,Holofoil,Near Mint,CEL25C: Celebrations: Classic Collection,Welcome to the Gallery!
Galarian Moltres V,Holofoil,Near Mint,SWSH10TG: Astral Radiance Trainer Gallery,Welcome to the Gallery!
Mew VMAX,Holofoil,Near Mint,SWSH11TG: Lost Origin Trainer Gallery,Welcome to the Gallery!
Friends in Galar,Holofoil,Near Mint,SWSH12TG: Silver Tempest Trainer Gallery,Welcome to the Gallery!
Eternatus VMAX,Holofoil,Near Mint,SWSH11TG: Lost Origin Trainer Gallery,Welcome to the Gallery!
Zacian V,Holofoil,Near Mint,SWSH10TG: Astral Radiance Trainer Gallery,Welcome to the Gallery!
Shadow Rider Calyrex VMAX,Holofoil,Near Mint,SWSH10TG: Astral Radiance Trainer Gallery,Welcome to the Gallery!
_____'s Pikachu,Holofoil,Near Mint,CEL25C: Celebrations: Classic Collection,Welcome to the Gallery!
Charizard,Holofoil,Lightly Played+,BASE6: Legendary Collection,Legendary Collections!
Dark Blastoise,Holofoil,Lightly Played+,BASE6: Legendary Collection,Legendary Collections!
Venusaur,Holofoil,Lightly Played+,BASE6: Legendary Collection,Legendary Collections!
Gengar,Holofoil,Lightly Played+,BASE6: Legendary Collection,Legendary Collections!
Alakazam,Holofoil,Lightly Played+,BASE6: Legendary Collection,Legendary Collections!
Dark Dragonite,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Flareon,Holofoil,Lightly Played+,BASE6: Legendary Collection,Legendary Collections!
Dark Raichu,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Jolteon,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Zapdos,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Articuno,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Dark Slowbro,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Dark Persian,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Gyarados,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Hitmonlee,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Ninetales,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Machamp,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Muk,Holofoil,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Kabutops,Normal,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Jynx,Normal,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Butterfree,Normal,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Magneton,Normal,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Gastly,Normal,Near Mint,BASE6: Legendary Collection,Legendary Collections!
Giratina V,Holofoil,Lightly Played+,SWSH11: Lost Origin,Legendary Pokemon!
M Rayquaza-EX,Holofoil,Lightly Played+,XY7: Ancient Origins,Legendary Pokemon!
Latias & Latios-GX,Holofoil,Lightly Played+,SM9: Team Up,Legendary Pokemon!
Lugia-EX,Holofoil,Lightly Played+,XY7: Ancient Origins,Legendary Pokemon!
Primal Kyogre-EX,Holofoil,Lightly Played+,XY7: Ancient Origins,Legendary Pokemon!
Ho-Oh-EX,Holofoil,Lightly Played+,BW6: Dragons Exalted,Legendary Pokemon!
Latias-EX,Holofoil,Lightly Played+,BW9: Plasma Freeze,Legendary Pokemon!
Latios-EX,Holofoil,Lightly Played+,BW9: Plasma Freeze,Legendary Pokemon!
Primal Groudon-EX,Holofoil,Lightly Played+,XY5: Primal Clash,Legendary Pokemon!
Armored Mewtwo,Holofoil,Lightly Played+,SMP: SM Black Star Promos,Legendary Pokemon!
Origin Forme Dialga V,Holofoil,Near Mint,SWSH10: Astral Radiance,Legendary Pokemon!
Origin Forme Palkia V,Holofoil,Near Mint,SWSH10: Astral Radiance,Legendary Pokemon!
Articuno-GX,Holofoil,Near Mint,SM7: Celestial Storm,Legendary Pokemon!
Arceus V,Holofoil,Near Mint,SWSH9: Brilliant Stars,Legendary Pokemon!
Zapdos ex,Holofoil,Near Mint,SV3PT5: 151,Legendary Pokemon!
Moltres & Zapdos & Articuno-GX,Holofoil,Near Mint,SMP: SM Black Star Promos,Legendary Pokemon!
Cobalion,Holofoil,Near Mint,BW3: Noble Victories,Legendary Pokemon!
Moltres,Holofoil,Near Mint,DP5: Majestic Dawn,Legendary Pokemon!
Entei V,Holofoil,Near Mint,SWSH12PT5GG: Crown Zenith Galarian Gallery,Legendary Pokemon!
Cresselia,Holofoil,Near Mint,SWSH7: Evolving Skies,Legendary Pokemon!
Suicune,Holofoil,Near Mint,DP3: Secret Wonders,Legendary Pokemon!
Heatran VMAX,Holofoil,Near Mint,SWSH10: Astral Radiance,Legendary Pokemon!
Regigigas,Holofoil,Near Mint,XYP: XY Black Star Promos,Legendary Pokemon!
Regirock-EX,Holofoil,Near Mint,XY10: Fates Collide,Legendary Pokemon!
Special Delivery Bidoof,Holofoil,Lightly Played+,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Special Delivery Pikachu,Holofoil,Lightly Played+,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Special Delivery Charizard,Holofoil,Lightly Played+,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Charizard,Holofoil,Lightly Played+,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Vaporeon V,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Pikachu V,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Vaporeon VMAX,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Pikachu,Holofoil,Lightly Played+,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Gengar,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Jolteon V,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Jolteon VMAX,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Marnie,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Flareon VMAX,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Flareon V,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Lugia,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
Blastoise VMAX,Holofoil,Near Mint,SWSHP: SWSH Black Star Promos,Sword and Shield Black Star Promo!
